Datum / Uhrzeit;Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor Ost - Außentemperatur [°C];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor Ost - Einstrahlungsstärke auf Modulebene (Gi) [W/m²];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor Horizontal - Einstrahlungsstärke auf Modulebene (Gi) [W/m²];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor West - Einstrahlungsstärke auf Modulebene (Gi) [W/m²];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor Ost - Modultemperatur [°C];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor Horizontal - Modultemperatur [°C];Bürgersolarkraftwerk Donaueschingen Aasen - Sensor Einstrahlungssensor West - Modultemperatur [°C]
01.01.2021 00:00:00;0,008333334;;;;-0,06666667;-0,03333334;-0,05
01.01.2021 01:00:00;0,05833333;;;;-0,05;-0,06666667;-0,04166667
01.01.2021 02:00:00;0,1166667;;;;-0,025;-0,03333334;-0,008333334
01.01.2021 03:00:00;0,08333334;;;;-0,025;-0,01666667;-0,025
01.01.2021 04:00:00;-0,025;;;;-0,2583333;-0,2083333;-0,2333333
01.01.2021 05:00:00;-0,9916667;;;;-1,275;-1,2;-1,191667
01.01.2021 06:00:00;-1,566667;;;;-1,816667;-1,775;-1,741667
01.01.2021 07:00:00;-1,35;0,6333333;0,5;0,4;-1,575;-1,558333;-1,558333
01.01.2021 08:00:00;-0,8833333;6,958333;1,075;5,608334;-1,008333;-1,041667;-1
01.01.2021 09:00:00;-0,7916667;52,61666;4,433333;33,99166;0,025;-1;-0,475
01.01.2021 10:00:00;0,7833333;125,0333;11,19167;56,84;3,1;0,4666667;0,84
01.01.2021 11:00:00;4,15;140,875;48,44167;123,37;7,075;3,416667;6,91
01.01.2021 12:00:00;4,616667;154,5417;85,4;131,6;7,508333;9,725;7,683333
01.01.2021 13:00:00;3,2;99,15833;59,21667;95,68333;5,366667;7,616667;6,058333
01.01.2021 14:00:00;1,833333;63,85;41,03333;64,2;2,825;4,591667;3,583333
01.01.2021 15:00:00;0,8916667;31,775;18,53333;28,88333;1,383333;2,033333;1,616667
01.01.2021 16:00:00;0,1083333;8,108334;4,975;7,4;0,1083333;0,175;0,1666667
01.01.2021 17:00:00;-0,2333333;0,5666667;0,4666667;0,4333333;-0,4916667;-0,675;-0,5083333
01.01.2021 18:00:00;-0,3;;;;-0,6583333;-0,7833334;-0,6
01.01.2021 19:00:00;-0,5;;;;-0,825;-0,9916667;-0,7916667
01.01.2021 20:00:00;-0,5916667;;;;-0,9166667;-1,1;-0,925
01.01.2021 21:00:00;-0,4833333;;;;-0,8083333;-1;-0,8083333
01.01.2021 22:00:00;-0,5083333;;;;-0,8166667;-1,008333;-0,8583333
01.01.2021 23:00:00;-0,425;;;;-0,625;-0,8083333;-0,7
02.01.2021 00:00:00;-0,6333333;;;;-0,8416666;-1,025;-0,9
02.01.2021 01:00:00;-0,8166667;;;;-1,008333;-1,15;-1,041667
02.01.2021 02:00:00;-0,8333333;;;;-1,1;-1,3;-1,166667
02.01.2021 03:00:00;-0,975;;;;-1,166667;-1,3;-1,2
02.01.2021 04:00:00;-1,125;;;;-1,283333;-1,4;-1,308333
02.01.2021 05:00:00;-1,35;;;;-1,525;-1,541667;-1,483333
02.01.2021 06:00:00;-1,4;;;;-1,541667;-1,666667;-1,583333
02.01.2021 07:00:00;-1,416667;0,5333334;0,4666667;0,3;-1,566667;-1,65;-1,575
02.01.2021 08:00:00;-2,325;2,591667;1,8;2,575;-1,566667;-1,583333;-0,6666667
02.01.2021 09:00:00;-1,608333;17,75833;11,225;18,925;-0,9416667;-0,975;-0,9583333
02.01.2021 10:00:00;-0,2416667;38,44167;23,3;40,53333;0,06666667;0,2583333;0,3166667
02.01.2021 11:00:00;0,04166667;51,20833;31,11667;48,05833;0,7583333;1,2;0,9416667
02.01.2021 12:00:00;-0,1333333;44,49167;27,9;47,18333;0,4416667;1,258333;0,7416667
02.01.2021 13:00:00;-0,1416667;57,875;34,54167;57,5;0,6;1,616667;0,9583333
02.01.2021 14:00:00;-0,5666667;34,4;20,80833;34,225;-0,15;0,4083333;0,05
02.01.2021 15:00:00;-0,575;31,09167;18,76667;30,18333;-0,175;0,3;-0,06666667
02.01.2021 16:00:00;-1,275;4,933333;3,216667;4,941667;-1,325;-1,283333;-1,275
02.01.2021 17:00:00;-1,458333;0,4333333;0,5;0,4666667;-1,65;-1,791667;-1,691667
02.01.2021 18:00:00;-1,55;;;;-1,716667;-1,8;-1,725
02.01.2021 19:00:00;-1,641667;;;;-1,8;-1,841667;-1,808333
02.01.2021 20:00:00;-1,7;;;;-1,883333;-1,925;-1,9
