0,Aasen,Germany,1,47.983,8.55,717
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2021,00:00:00,,,,0.008333334,1013.0,0.25
01/01/2021,01:00:00,,,,0.05833333,1013.0,0.25
01/01/2021,02:00:00,,,,0.1166667,1013.0,0.25
01/01/2021,03:00:00,,,,0.08333334,1013.0,0.25
01/01/2021,04:00:00,,,,-0.025,1013.0,0.25
01/01/2021,05:00:00,,,,-0.9916667,1013.0,0.25
01/01/2021,06:00:00,,,,-1.566667,1013.0,0.25
01/01/2021,07:00:00,0.5,,,-1.35,1013.0,0.25
01/01/2021,08:00:00,1.075,0.0,1.075,-0.8833333,1013.0,0.25
01/01/2021,09:00:00,4.433333,0.0,4.433333,-0.7916667,1013.0,0.25
01/01/2021,10:00:00,11.19167,0.0,11.19167,0.7833333,1013.0,0.25
01/01/2021,11:00:00,48.44167,0.0,48.44167,4.15,1013.0,0.25
01/01/2021,12:00:00,85.4,0.0,85.4,4.616667,1013.0,0.25
01/01/2021,13:00:00,59.21667,0.0,59.21667,3.2,1013.0,0.25
01/01/2021,14:00:00,41.03333,0.0,41.03333,1.833333,1013.0,0.25
01/01/2021,15:00:00,18.53333,0.0,18.53333,0.8916667,1013.0,0.25
01/01/2021,16:00:00,4.975,,,0.1083333,1013.0,0.25
01/01/2021,17:00:00,0.4666667,,,-0.2333333,1013.0,0.25
01/01/2021,18:00:00,,,,-0.3,1013.0,0.25
01/01/2021,19:00:00,,,,-0.5,1013.0,0.25
01/01/2021,20:00:00,,,,-0.5916667,1013.0,0.25
01/01/2021,21:00:00,,,,-0.4833333,1013.0,0.25
01/01/2021,22:00:00,,,,-0.5083333,1013.0,0.25
01/01/2021,23:00:00,,,,-0.425,1013.0,0.25
01/02/2021,00:00:00,,,,-0.6333333,1013.0,0.25
01/02/2021,01:00:00,,,,-0.8166667,1013.0,0.25
01/02/2021,02:00:00,,,,-0.8333333,1013.0,0.25
01/02/2021,03:00:00,,,,-0.975,1013.0,0.25
01/02/2021,04:00:00,,,,-1.125,1013.0,0.25
01/02/2021,05:00:00,,,,-1.35,1013.0,0.25
01/02/2021,06:00:00,,,,-1.4,1013.0,0.25
01/02/2021,07:00:00,0.4666667,,,-1.416667,1013.0,0.25
01/02/2021,08:00:00,1.8,0.0,1.8,-2.325,1013.0,0.25
01/02/2021,09:00:00,11.225,0.0,11.225,-1.608333,1013.0,0.25
01/02/2021,10:00:00,23.3,0.0,23.3,-0.2416667,1013.0,0.25
01/02/2021,11:00:00,31.11667,0.0,31.11667,0.04166667,1013.0,0.25
01/02/2021,12:00:00,27.9,0.0,27.9,-0.1333333,1013.0,0.25
01/02/2021,13:00:00,34.54167,0.0,34.54167,-0.1416667,1013.0,0.25
01/02/2021,14:00:00,20.80833,0.0,20.80833,-0.5666667,1013.0,0.25
01/02/2021,15:00:00,18.76667,0.0,18.76667,-0.575,1013.0,0.25
01/02/2021,16:00:00,3.216667,,,-1.275,1013.0,0.25
01/02/2021,17:00:00,0.5,,,-1.458333,1013.0,0.25
01/02/2021,18:00:00,,,,-1.55,1013.0,0.25
01/02/2021,19:00:00,,,,-1.641667,1013.0,0.25
01/02/2021,20:00:00,,,,-1.7,1013.0,0.25
01/02/2021,21:00:00,,,,-1.783333,1013.0,0.25
01/02/2021,22:00:00,,,,-1.816667,1013.0,0.25
01/02/2021,23:00:00,,,,-1.7,1013.0,0.25
01/03/2021,00:00:00,,,,-1.941667,1013.0,0.25
01/03/2021,01:00:00,,,,-2.108333,1013.0,0.25
01/03/2021,02:00:00,,,,-2.383333,1013.0,0.25
01/03/2021,03:00:00,,,,-2.808333,1013.0,0.25
01/03/2021,04:00:00,,,,-2.625,1013.0,0.25
01/03/2021,05:00:00,,,,-2.508333,1013.0,0.25
01/03/2021,06:00:00,,,,-2.408333,1013.0,0.25
01/03/2021,07:00:00,0.5,,,-2.4,1013.0,0.25
01/03/2021,08:00:00,1.708333,0.0,1.708333,-2.3,1013.0,0.25
01/03/2021,09:00:00,6.341667,0.0,6.341667,-1.166667,1013.0,0.25
01/03/2021,10:00:00,8.175,0.0,8.175,-0.375,1013.0,0.25
01/03/2021,11:00:00,16.175,0.0,16.175,0.3666667,1013.0,0.25
01/03/2021,12:00:00,50.83333,0.0,50.83333,0.8166667,1013.0,0.25
01/03/2021,13:00:00,54.19167,0.0,54.19167,0.7416667,1013.0,0.25
01/03/2021,14:00:00,51.65,0.0,51.65,0.8583333,1013.0,0.25
01/03/2021,15:00:00,15.09167,0.0,15.09167,-0.2,1013.0,0.25
01/03/2021,16:00:00,4.066667,,,-0.725,1013.0,0.25
01/03/2021,17:00:00,0.5333334,,,-1.566667,1013.0,0.25
01/03/2021,18:00:00,,,,-1.883333,1013.0,0.25
01/03/2021,19:00:00,,,,-2.075,1013.0,0.25
01/03/2021,20:00:00,,,,-2.091667,1013.0,0.25
01/03/2021,21:00:00,,,,-1.941667,1013.0,0.25
01/03/2021,22:00:00,,,,-2.2,1013.0,0.25
01/03/2021,23:00:00,,,,-2.483333,1013.0,0.25
01/04/2021,00:00:00,,,,-2.616667,1013.0,0.25
01/04/2021,01:00:00,,,,-2.641667,1013.0,0.25
01/04/2021,02:00:00,,,,-2.75,1013.0,0.25
01/04/2021,03:00:00,,,,-2.858333,1013.0,0.25
01/04/2021,04:00:00,,,,-2.741667,1013.0,0.25
01/04/2021,05:00:00,,,,-2.733333,1013.0,0.25
01/04/2021,06:00:00,,,,-2.566667,1013.0,0.25
01/04/2021,07:00:00,0.5333334,,,-2.133333,1013.0,0.25
01/04/2021,08:00:00,3.2,0.0,3.2,-2.141667,1013.0,0.25
01/04/2021,09:00:00,16.7,0.0,16.7,-0.7666667,1013.0,0.25
01/04/2021,10:00:00,27.86667,0.0,27.86667,-0.025,1013.0,0.25
01/04/2021,11:00:00,36.71667,0.0,36.71667,-0.2,1013.0,0.25
01/04/2021,12:00:00,49.525,0.0,49.525,0.05833333,1013.0,0.25
01/04/2021,13:00:00,49.71667,0.0,49.71667,0.09166667,1013.0,0.25
01/04/2021,14:00:00,36.30833,0.0,36.30833,-0.03333333,1013.0,0.25
01/04/2021,15:00:00,15.41667,0.0,15.41667,-1.008333,1013.0,0.25
01/04/2021,16:00:00,3.466667,,,-1.716667,1013.0,0.25
01/04/2021,17:00:00,0.475,,,-2.116667,1013.0,0.25
01/04/2021,18:00:00,,,,-2.5,1013.0,0.25
01/04/2021,19:00:00,,,,-2.691667,1013.0,0.25
01/04/2021,20:00:00,,,,-2.85,1013.0,0.25
01/04/2021,21:00:00,,,,-2.966667,1013.0,0.25
01/04/2021,22:00:00,,,,-2.941667,1013.0,0.25
01/04/2021,23:00:00,,,,-3.058333,1013.0,0.25
01/05/2021,00:00:00,,,,-3.075,1013.0,0.25
01/05/2021,01:00:00,,,,-3.058333,1013.0,0.25
01/05/2021,02:00:00,,,,-3.175,1013.0,0.25
01/05/2021,03:00:00,,,,-3.2,1013.0,0.25
01/05/2021,04:00:00,,,,-3.15,1013.0,0.25
01/05/2021,05:00:00,,,,-3.025,1013.0,0.25
01/05/2021,06:00:00,,,,-3.533333,1013.0,0.25
01/05/2021,07:00:00,0.5333334,,,-3.091667,1013.0,0.25
01/05/2021,08:00:00,3.591667,0.0,3.591667,-3.025,1013.0,0.25
01/05/2021,09:00:00,13.70833,0.0,13.70833,-2.408333,1013.0,0.25
01/05/2021,10:00:00,22.34167,0.0,22.34167,-1.416667,1013.0,0.25
01/05/2021,11:00:00,26.40833,0.0,26.40833,-1.225,1013.0,0.25
01/05/2021,12:00:00,37.59167,0.0,37.59167,-1.033333,1013.0,0.25
01/05/2021,13:00:00,30.21667,0.0,30.21667,-1.475,1013.0,0.25
01/05/2021,14:00:00,22.95833,0.0,22.95833,-0.875,1013.0,0.25
01/05/2021,15:00:00,11.75833,0.0,11.75833,-1.375,1013.0,0.25
01/05/2021,16:00:00,3.1,,,-1.608333,1013.0,0.25
01/05/2021,17:00:00,0.5,,,4.316667,1013.0,0.25
01/05/2021,18:00:00,,,,-2.058333,1013.0,0.25
01/05/2021,19:00:00,,,,-2.058333,1013.0,0.25
01/05/2021,20:00:00,,,,-2.158333,1013.0,0.25
01/05/2021,21:00:00,,,,-1.616667,1013.0,0.25
01/05/2021,22:00:00,,,,-1.625,1013.0,0.25
01/05/2021,23:00:00,,,,-1.941667,1013.0,0.25
01/06/2021,00:00:00,,,,-2.116667,1013.0,0.25
01/06/2021,01:00:00,,,,-2.0,1013.0,0.25
01/06/2021,02:00:00,,,,-1.925,1013.0,0.25
01/06/2021,03:00:00,,,,-1.925,1013.0,0.25
01/06/2021,04:00:00,,,,-1.633333,1013.0,0.25
01/06/2021,05:00:00,,,,-1.483333,1013.0,0.25
01/06/2021,06:00:00,,,,-1.533333,1013.0,0.25
01/06/2021,07:00:00,0.5,,,-1.616667,1013.0,0.25
01/06/2021,08:00:00,0.9916667,0.0,0.9916667,-1.341667,1013.0,0.25
01/06/2021,09:00:00,3.466667,0.0,3.466667,-0.25,1013.0,0.25
01/06/2021,10:00:00,3.425,0.0,3.425,-0.8083333,1013.0,0.25
01/06/2021,11:00:00,4.375,0.0,4.375,-0.55,1013.0,0.25
01/06/2021,12:00:00,6.791667,0.0,6.791667,0.03333333,1013.0,0.25
01/06/2021,13:00:00,6.55,0.0,6.55,0.4166667,1013.0,0.25
01/06/2021,14:00:00,4.708333,0.0,4.708333,0.075,1013.0,0.25
01/06/2021,15:00:00,3.266667,0.0,3.266667,0.125,1013.0,0.25
01/06/2021,16:00:00,1.133333,,,-0.4833333,1013.0,0.25
01/06/2021,17:00:00,0.5,,,-1.15,1013.0,0.25
01/06/2021,18:00:00,,,,-1.55,1013.0,0.25
01/06/2021,19:00:00,,,,-2.025,1013.0,0.25
01/06/2021,20:00:00,,,,-3.033333,1013.0,0.25
01/06/2021,21:00:00,,,,-3.041667,1013.0,0.25
01/06/2021,22:00:00,,,,-2.625,1013.0,0.25
01/06/2021,23:00:00,,,,-2.533333,1013.0,0.25
01/07/2021,00:00:00,,,,-2.55,1013.0,0.25
01/07/2021,01:00:00,,,,-2.641667,1013.0,0.25
01/07/2021,02:00:00,,,,-2.75,1013.0,0.25
01/07/2021,03:00:00,,,,-2.6,1013.0,0.25
01/07/2021,04:00:00,,,,-2.741667,1013.0,0.25
01/07/2021,05:00:00,,,,-2.925,1013.0,0.25
01/07/2021,06:00:00,,,,-2.933333,1013.0,0.25
01/07/2021,07:00:00,0.5666667,,,-2.566667,1013.0,0.25
01/07/2021,08:00:00,0.8916667,0.0,0.8916667,-2.666667,1013.0,0.25
01/07/2021,09:00:00,3.008333,0.0,3.008333,-1.566667,1013.0,0.25
01/07/2021,10:00:00,6.666667,0.0,6.666667,-0.3583333,1013.0,0.25
01/07/2021,11:00:00,10.20833,0.0,10.20833,0.3833333,1013.0,0.25
01/07/2021,12:00:00,8.875,0.0,8.875,0.08333334,1013.0,0.25
01/07/2021,13:00:00,9.025,0.0,9.025,0.06666667,1013.0,0.25
01/07/2021,14:00:00,11.425,0.0,11.425,0.0,1013.0,0.25
01/07/2021,15:00:00,7.166667,0.0,7.166667,-0.3,1013.0,0.25
01/07/2021,16:00:00,1.691667,,,-1.075,1013.0,0.25
01/07/2021,17:00:00,0.5,,,-1.816667,1013.0,0.25
01/07/2021,18:00:00,,,,-1.883333,1013.0,0.25
01/07/2021,19:00:00,,,,-2.091667,1013.0,0.25
01/07/2021,20:00:00,,,,-2.608333,1013.0,0.25
01/07/2021,21:00:00,,,,-2.041667,1013.0,0.25
01/07/2021,22:00:00,,,,-2.325,1013.0,0.25
01/07/2021,23:00:00,,,,-3.725,1013.0,0.25
01/08/2021,00:00:00,,,,-3.983333,1013.0,0.25
01/08/2021,01:00:00,,,,-4.325,1013.0,0.25
01/08/2021,02:00:00,,,,-5.141667,1013.0,0.25
01/08/2021,03:00:00,,,,-5.516666,1013.0,0.25
01/08/2021,04:00:00,,,,-5.7,1013.0,0.25
01/08/2021,05:00:00,,,,-5.275,1013.0,0.25
01/08/2021,06:00:00,,,,-4.608333,1013.0,0.25
01/08/2021,07:00:00,0.5,,,-3.408333,1013.0,0.25
01/08/2021,08:00:00,1.491667,0.0,1.491667,-3.191667,1013.0,0.25
01/08/2021,09:00:00,5.875,0.0,5.875,-2.525,1013.0,0.25
01/08/2021,10:00:00,12.075,0.0,12.075,-1.491667,1013.0,0.25
01/08/2021,11:00:00,14.90833,0.0,14.90833,-0.4333333,1013.0,0.25
01/08/2021,12:00:00,15.2,0.0,15.2,0.9416667,1013.0,0.25
01/08/2021,13:00:00,17.00833,0.0,17.00833,0.6083333,1013.0,0.25
01/08/2021,14:00:00,49.95,0.0,49.95,2.075,1013.0,0.25
01/08/2021,15:00:00,94.98334,276.915942704259,67.56457967453387,3.591667,1013.0,0.25
01/08/2021,16:00:00,18.775,,,-0.5333334,1013.0,0.25
01/08/2021,17:00:00,0.92,,,-2.841667,1013.0,0.25
01/08/2021,18:00:00,,,,-5.916667,1013.0,0.25
01/08/2021,19:00:00,,,,-7.766666,1013.0,0.25
01/08/2021,20:00:00,,,,-11.575,1013.0,0.25
01/08/2021,21:00:00,,,,-13.41667,1013.0,0.25
01/08/2021,22:00:00,,,,-11.73333,1013.0,0.25
01/08/2021,23:00:00,,,,-12.64167,1013.0,0.25
01/09/2021,00:00:00,,,,-11.54167,1013.0,0.25
01/09/2021,01:00:00,,,,-11.86667,1013.0,0.25
01/09/2021,02:00:00,,,,-14.56667,1013.0,0.25
01/09/2021,03:00:00,,,,-16.70833,1013.0,0.25
01/09/2021,04:00:00,,,,-17.35833,1013.0,0.25
01/09/2021,05:00:00,,,,-17.59167,1013.0,0.25
01/09/2021,06:00:00,,,,-14.96667,1013.0,0.25
01/09/2021,07:00:00,0.8,,,-14.23333,1013.0,0.25
01/09/2021,08:00:00,6.083333,0.0,6.083333,-13.31667,1013.0,0.25
01/09/2021,09:00:00,30.94167,0.0,30.94167,-10.36667,1013.0,0.25
01/09/2021,10:00:00,76.51666,0.0,76.51666,-7.266667,1013.0,0.25
